_embedded_show_id,_embedded_show_url,_embedded_show_name,_embedded_show_type,_embedded_show_language,_embedded_show_genres,_embedded_show_status,_embedded_show_runtime,_embedded_show_averageRuntime,_embedded_show_premiered,_embedded_show_ended,_embedded_show_officialSite,_embedded_show_weight,_embedded_show_network,_embedded_show_dvdCountry,_embedded_show_summary,_embedded_show_updated
57556,https://www.tvmaze.com/shows/57556/i-am-a-great-god,I Am a Great God,Animation,Chinese,"['Action', 'Anime', 'Fantasy']",Ended,20.0,,2020-11-12,2021-06-10,https://v.qq.com/detail/m/mzc002009u3yfca.html,7,,,"<p>At the age of seven, the very short-lived child prodigy, who was growing too fast, returned to the immortal world to prevent his abnormal growing. From then on, with his gifted brain and wisdom he obtained from earth, he walked in path immortality to became the legendary god to return his normal life...</p>",1631531121
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
61556,https://www.tvmaze.com/shows/61556/unsolved-cases-of-kung-fu-portrait-of-beauty,Unsolved Cases of Kung Fu: Portrait of Beauty,Scripted,Chinese,['Mystery'],Ended,30.0,30.0,2020-12-30,2021-01-07,https://v.qq.com/x/cover/mzc00200tyfmlws.html,0,,,"<p>Young noble Chu Yun Xiao crosses paths with female doctor Leng Xing Chen because of a beauty portrait. Together with their friends, the six people who are pulled into a terrifying conspiracy form a detective team to uncover the secrets surrounding the portrait. Chu Yunxiao has ventured into the pugilistic world for the first time. Aspiring to be a chivalrous hero, he relies on his outstanding martial arts skills and high intelligence to solve a difficult case. However, he unexpectedly discovers that he is also a chess piece in this dangerous game. As the fog is slowly lifted, Chu Yun Xiao becomes aware of an unbearable truth that the past twenty years of his life was nothing but a lie.</p>",1650622651
55199,https://www.tvmaze.com/shows/55199/klassen,Klassen,Scripted,Swedish,['Children'],Running,10.0,10.0,2017-11-13,,https://www.svtplay.se/video/31148826/klassen,38,,,"<p>The Swedish drama series for children, Classmates takes place in the school environment and lifts matters, great and small, that concern children and their daily life, and targets issues that arise when they socialize in school without the presence of adults. We follow ordinary children during school hours, the characters representing different personalities so the audience can recognize both themselves and their real life classmates.</p>",1640018366
48252,https://www.tvmaze.com/shows/48252/nocnoj-kontakt,Ночной Контакт,Talk Show,Russian,[],Running,30.0,30.0,2018-01-25,,https://vk.com/nochnoy_kontakt,2,,,,1650626751
52712,https://www.tvmaze.com/shows/52712/a-love-so-beautiful,A Love So Beautiful,Scripted,Korean,"['Drama', 'Comedy', 'Romance']",Ended,20.0,22.0,2020-12-28,2021-02-20,https://tv.kakao.com/channel/3716525/playlist,39,,,"<p>Cha Hun is a student at Chun Ji High School who has both good looks and brains. He appears to be a cold character, but he is actually someone with a warm heart who is awkward at expressing himself well. Shin Sol Yi is a bright and bubbly 17-year-old who has a crush on Cha Hun. She openly confesses her love to Cha Hun continuously, and she is a clumsy but lovable character. Woo Dae Sung is a talented swimmer who transfers to Chun Ji High School and falls for Shin Sol Yi. He does not express his feelings for her and quietly stays by her side.</p>",1646691192
